date,topic,platform,content_pillar
2026-03-04,The EU AI Act compliance timeline for non-EU companies,linkedin,regulatory updates
2026-03-04,How SHAP values make black-box models explainable,twitter,AI fairness
2026-03-05,AuditChain's approach to auditing models in fintech,blog,case studies
2026-03-05,Blockchain immutability and why it matters for AI certificates,linkedin,blockchain trust
2026-03-06,Bias in credit scoring models across Sub-Saharan Africa,twitter,AI fairness
2026-03-06,A week inside an AI audit: what auditors actually check,blog,behind the scenes
2026-03-07,India's AI governance framework — what global companies must know,linkedin,regulatory updates
2026-03-07,Thread: 5 signs your ML model might be unfair,twitter,AI fairness
2026-03-10,How on-chain certificates eliminate audit fraud,linkedin,blockchain trust
2026-03-10,Healthcare AI in Africa: the fairness stakes,twitter,case studies
2026-03-11,Behind our audit engine: LIME explainability in practice,blog,behind the scenes
2026-03-11,OECD AI Principles update — practical implications for auditors,linkedin,regulatory updates
2026-03-12,Why disparate impact testing saved a Nigerian bank from regulatory action,blog,case studies
2026-03-12,Thread: Understanding equalized odds in plain English,twitter,AI fairness
2026-03-13,NFT audit certificates — gimmick or genuine trust tool?,linkedin,blockchain trust
2026-03-14,The Global South AI audit gap — and how to close it,blog,AI fairness
